No.;NIT;RAZON SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO;CIIU;MACROSECTOR;"INGRESOS OPERACIONALES
2018*";GANANCIA (PERDIDA) 2018;TOTAL ACTIVOS 2018;TOTAL PASIVOS 2018;TOTAL PATRIMONIO 2018;"INGRESOS OPERACIONALES
2017*";GANANCIA (PERDIDA) 2017;TOTAL ACTIVOS 2017;TOTAL PASIVOS 2017;TOTAL PATRIMONIO 2017;GRUPO EN NIIF
1005;900999139;HUAWEI TECHNOLOGIES MANAGED SERVICE COLOMBIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;J6190 - Otras actividades de telecomunicaciones;SERVICIOS;2110154370;-698925970;928845550;2470783540;-1541937990;1557265350;-808486660;701353090;$ 1542537660;-841184570;NIIF PLENAS-GRUPO 1
1006;830083619;TALISMAN COLOMBIA OIL & GAS LTD;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0610 - Extracción de petróleo crudo;MINERO-HIDROCARBUROS;1851311620;-1824362550;7143324220;973672040;6169652180;971173820;-580245430;8149193280;$ 722188080;7427005200;NIIF PLENAS-GRUPO 1
1007;900311581;MAC CENTER COLOMBIA SOCIEDAD POR ACCIONES SIMPLIFICADA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados;COMERCIO;2078586510;1905400;927051220;862447140;64604080;1713401980;5328710;771831330;$ 709132630;62698700;NIIF PLENAS-GRUPO 1
1008;900759679;DISTRIBUIDORA HINO DE COLOMBIA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;COTA-CUNDINAMARCA;G4511 - Comercio de vehículos automotores nuevos;COMERCIO;2061486420;91555760;1286174640;513896770;772277870;1946436610;192839480;1359811870;$ 679089760;680722110;NIIF PLENAS-GRUPO 1
1009;900459993;GRUPO ETHUSS S.A.S.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;M7010 - Actividades de administración empresarial;SERVICIOS;3098385580;3004948150;8127807860;1047725890;7080081970;276306060;27519820;3627744850;$ 1034854660;2592890190;NIIF PLENAS-GRUPO 1
1010;860510031;GRUPO ASESORIA EN SISTEMATIZACION DE DATOS S.A.S.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;J6311 - Procesamiento de datos, alojamiento (hosting) y actividades relacionadas;SERVICIOS;1579861830;279804940;1867946660;537082330;1330864330;1066868900;98173880;1707494860;$ 590935470;1116559390;NIIF PYMES-GRUPO 2
1011;900155107;Cencosud Colombia S.A;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco;COMERCIO;37724639230;;62566743950;17471873560;45094870390;38391773520;-528228670;62722678250;$ 16530746980;46191931270;NIIF PLENAS-GRUPO 1
1012;860029995;ACERIAS PAZ DE RIO S A;SUPERFINANCIERA;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C2410 - Industrias básicas de hierro y de acero;MANUFACTURA;9646154870;-112502710;19134581020;13372680410;5761900610;8269104660;-397942980;19972035190;$ 14199237780;5772797410;NIIF PLENAS-GRUPO 1
1013;890306372;ELECTROJAPONESA SA;SUPERSOCIEDADES;Costa Pacífica;VALLE;;G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico;COMERCIO;1749267130;12284370;1397242650;1137520150;259722500;1928737120;18591080;1263745420;$ 1078623150;185122270;NIIF PYMES-GRUPO 2
1014;899999107;EPS'S CONVIDA;SUPERSALUD;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;O8430- Actividades de planes de seguridad social de afiliacion obligatoria;SERVICIOS;51586934753;-6650830499;13706908119;27545624128;-13838716009;47586095639;-3093812152;13432155996;$ 22620041506;-918788551;REGIMEN R 414 de 2014 - CGN
1015;805000427;COOMEVA EPS SA;SUPERSALUD;Costa Pacífica;VALLE;CALI-VALLE;O8430- Actividades de planes de seguridad social de afiliacion obligatoria;SERVICIOS;2,98418E+11;84715939;1,64534E+11;2,07888E+11;-43353425602;3,29565E+11;-79779974479;1,5408E+11;$ 203647392373;-49566975285;NIIF PLENAS-GRUPO 1
1016;811020804;CONALTURA CONSTRUCCION Y VIVIENDA S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;F4111 - Construcción de edificios residenciales;CONSTRUCCIÓN;1707848450;61901190;3932187070;3052453550;879733520;1048733900;97728330;2802660710;$ 1965532540;837128170;NIIF PLENAS-GRUPO 1
1017;800136561;URBANIZADORA SANTAFE DE BOGOTA URBANSA S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;F4111 - Construcción de edificios residenciales;CONSTRUCCIÓN;1661962360;183898250;3509148610;2231413520;1277735090;1252898670;118315600;2635464220;$ 1446207030;1189257190;NIIF PLENAS-GRUPO 1
1018;800218958;FLEXO SPRING S.A.S;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C2229 - Fabricación de artículos de plástico n.c.p.;MANUFACTURA;2881033380;56839000;2455060590;1229844640;1225215950;2675606950;51443150;2316577200;$ 1048231090;1268346110;NIIF PLENAS-GRUPO 1
1019;830018214;MPS MAYORISTA DE COLOMBIA SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;COTA-CUNDINAMARCA;G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática;COMERCIO;6933992980;71113150;2604283810;2328575270;275708540;6640086870;62953660;2447456500;$ 2191910390;255546110;NIIF PLENAS-GRUPO 1
1020;802024439;CARBONES DE LA JAGA S.A.;SUPERSOCIEDADES;Costa Atlántica;ATLANTICO;BARRANQUILLA-ATLANTICO;B0510 - Extracción de hulla (carbón de piedra);MINERO-HIDROCARBUROS;6797883920;322382490;11965625390;7904925130;4060700260;4925292290;396682640;9808290990;$ 6427479260;3380811730;NIIF PLENAS-GRUPO 1
1021;860024586;PAVIMENTOS COLOMBIA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;F4210 - Construcción de carreteras y vías de ferrocarril;CONSTRUCCIÓN;2797622150;283357960;10664974650;5448646430;5216328220;4359494330;642122820;11514087650;$ 6431117390;5082970260;NIIF PLENAS-GRUPO 1
1022;900493698;GEOPARK COLOMBIA S.A.S.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0610 - Extracción de petróleo crudo;MINERO-HIDROCARBUROS;14711161750;5765224050;15142510260;5505580130;9636930130;7712416010;1995869910;8567525170;$ 4196866580;4370658590;NIIF PLENAS-GRUPO 1
1023;830025281;ANNAR DIAGNOSTICA IMPORT SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4690 - Comercio al por mayor no especializado;COMERCIO;1383440180;127147780;1316559590;588663620;727895970;1140120050;82913590;1052171700;$ 451423500;600748200;NIIF PLENAS-GRUPO 1
1024;860053930;OCCIDENTAL DE COLOMBIA, LLC;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0520 - Extracción de carbón lignito;MINERO-HIDROCARBUROS;9607318580;3081242550;9450282480;4192267170;5258015310;7373973540;1847099630;8964797740;$ 4085513520;4879284220;NIIF PLENAS-GRUPO 1
